	Initial generation
Global best:  	Position: (-1.2790, -2.2955) 	 | Velocity :(0.0000, 0.0000) 	 | Fitness: -35.755035 

Particles best: 

Particle 0 	Position: (-2.6491, 2.4129) 	 | Velocity :(0.0000, 0.0000) 	 | Fitness: 17.665884
Particle 1 	Position: (2.2561, -2.7789) 	 | Velocity :(0.0000, 0.0000) 	 | Fitness: 23.298589
Particle 2 	Position: (-4.7026, -4.7512) 	 | Velocity :(0.0000, 0.0000) 	 | Fitness: 94.668492
Particle 3 	Position: (-1.4006, 4.6327) 	 | Velocity :(0.0000, 0.0000) 	 | Fitness: -26.136085
Particle 4 	Position: (3.7609, -3.3558) 	 | Velocity :(0.0000, 0.0000) 	 | Fitness: 16.209164
Particle 5 	Position: (-3.4175, 3.6546) 	 | Velocity :(0.0000, 0.0000) 	 | Fitness: 19.577260
Particle 6 	Position: (4.4848, -3.7014) 	 | Velocity :(0.0000, 0.0000) 	 | Fitness: 22.733931
Particle 7 	Position: (1.4312, -2.6851) 	 | Velocity :(0.0000, 0.0000) 	 | Fitness: 22.994512
Particle 8 	Position: (-2.0613, 3.6032) 	 | Velocity :(0.0000, 0.0000) 	 | Fitness: -15.954643
Particle 9 	Position: (-1.3620, 1.8389) 	 | Velocity :(0.0000, 0.0000) 	 | Fitness: 4.886346
Particle 10 	Position: (1.0644, 3.5056) 	 | Velocity :(0.0000, 0.0000) 	 | Fitness: 26.384285
Particle 11 	Position: (-2.4825, 2.3490) 	 | Velocity :(0.0000, 0.0000) 	 | Fitness: 14.174839
Particle 12 	Position: (-1.2790, -2.2955) 	 | Velocity :(0.0000, 0.0000) 	 | Fitness: -35.755035
Particle 13 	Position: (4.1277, 3.6858) 	 | Velocity :(0.0000, 0.0000) 	 | Fitness: -3.166923
Particle 14 	Position: (-0.5594, 1.2199) 	 | Velocity :(0.0000, 0.0000) 	 | Fitness: 12.010377
Particle 15 	Position: (-0.8699, 1.8008) 	 | Velocity :(0.0000, 0.0000) 	 | Fitness: 9.234708
Particle 16 	Position: (-3.8794, 4.8652) 	 | Velocity :(0.0000, 0.0000) 	 | Fitness: 30.827775
Particle 17 	Position: (-1.0031, 1.9176) 	 | Velocity :(0.0000, 0.0000) 	 | Fitness: 7.116461
Particle 18 	Position: (4.2713, 1.1352) 	 | Velocity :(0.0000, 0.0000) 	 | Fitness: 19.591443
Particle 19 	Position: (3.9786, 1.3296) 	 | Velocity :(0.0000, 0.0000) 	 | Fitness: 23.307118


	Generation:  1
Particle 0 	Position: (-2.4906, 1.8682) 	 | Velocity :(0.1585, -0.5446) 	 | Fitness: 18.445653
Particle 1 	Position: (0.0108, -2.4719) 	 | Velocity :(-2.2454, 0.3070) 	 | Fitness: -9.139480
Particle 2 	Position: (-1.1629, -2.2123) 	 | Velocity :(3.5397, 2.5389) 	 | Fitness: -36.733309
Particle 3 	Position: (-1.3716, 2.9798) 	 | Velocity :(0.0290, -1.6529) 	 | Fitness: -9.717520
